"entity_type","entity_id","pb_id","population_id","observations","unique_source_units","unique_authors","independent_threads","platforms_n","label","saturation"
"MARKET_VOC:corpus","ALL","ALL","ALL","116","42","64","45","4","VALIDATED","STRONG"
"PRODUCT_TRUTH:corpus","ALL","ALL","ALL","10","2","10","2","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:corpus","ALL","ALL","ALL","181","84","78","84","1","SUPPORTED","EARLY SIGNAL"
"ALL:corpus","ALL","ALL","ALL","307","128","152","131","6","VALIDATED","MODERATE"
"MARKET_VOC:tag","almost_stopped","ALL","ALL","6","6","6","6","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","almost_stopped","ALL","ALL","8","8","8","8","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","almost_stopped","ALL","ALL","14","14","14","14","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","belief","ALL","ALL","31","22","25","22","3","VALIDATED","STRONG"
"OWNED_PROOF:tag","belief","ALL","ALL","31","26","26","26","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","belief","ALL","ALL","62","48","51","48","4","VALIDATED","MODERATE"
"MARKET_VOC:tag","consequence","ALL","ALL","7","5","7","5","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","consequence","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:tag","consequence","ALL","ALL","9","7","9","7","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","curiosity","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:tag","curiosity","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","curiosity","ALL","ALL","3","3","3","3","2","VALIDATED","MODERATE"
"MARKET_VOC:tag","deeper_hope","ALL","ALL","6","5","5","5","2","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","deeper_hope","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:tag","deeper_hope","ALL","ALL","6","6","6","6","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","deeper_hope","ALL","ALL","13","12","12","12","4","VALIDATED","MODERATE"
"MARKET_VOC:tag","desire","ALL","ALL","7","6","7","7","2","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","desire","ALL","ALL","5","1","5","1","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:tag","desire","ALL","ALL","34","31","30","31","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","desire","ALL","ALL","46","38","42","39","4","VALIDATED","MODERATE"
"MARKET_VOC:tag","emotion:betrayed","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","emotion:betrayed","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:tag","emotion:devastated","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","emotion:devastated","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:tag","emotion:discouraged","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","emotion:discouraged","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:tag","emotion:frustrated","ALL","ALL","5","2","4","2","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","emotion:frustrated","ALL","ALL","5","2","4","2","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:tag","emotion:hopeless","ALL","ALL","3","3","3","3","2","VALIDATED","STRONG"
"ALL:tag","emotion:hopeless","ALL","ALL","3","3","3","3","2","VALIDATED","MODERATE"
