id,concept_id,vehicle,launch_status,persona,awareness,aspect,format,hook,subhead,body,proof,cta_outcome,word_count_on_image,image_file,prompt_file,qa_status
C1-V1,C1,V1,launch,"AV7-owner-automate: runs a business; 3-4 stores built and ""just sitting there"" (Q-O-0103); age [A] 40-55 (13 §5)",problem aware,1:1,IMV on A8a #1 Headline + Benefits,Three or four online stores built. Still just sitting there.,Building them was never the problem. Nobody was assigned to work them after they went live.,"Opened in your name, first products picked from search data. | Products released in stages, each a small test on a budget you approve. | After launch: results reviewed, fixes made, new products added.","In writing: exactly what the $500 pays for, after launch too.",Loaded and live,74,images/C1-V1.jpg,prompts/C1-V1.txt,pass
C1-V2,C1,V2,launch,"AV7-owner-automate: runs a business; 3-4 stores built and ""just sitting there"" (Q-O-0103); age [A] 40-55 (13 §5)",problem aware,4:5,N2 group chat,marketing's slowed down so much and my stores are just sitting there,building them was never the problem / nobody worked them after they went live. that's what decides a store,"i got a team that stays on after launch. they review results, fix listings, test the next product",not automatic. i approve the ad budget and read the report,Loaded and live,83,images/C1-V2.jpg,prompts/C1-V2.txt,pass
C1-V3,C1,V3,launch,"AV7-owner-automate: runs a business; 3-4 stores built and ""just sitting there"" (Q-O-0103); age [A] 40-55 (13 §5)",problem aware,4:5,N8 Story Snapshot,"I've never said this out loud, not even to my accountant. I have three online stores built and sitting in the admin, and I haven't done anything with them in years.","A built store is not a running store, and nobody had the job of running mine.","Built in my name. Products in stages, small ad tests on a budget I approve, a written review of what to keep and what to replace, and they stay after launch day.","What the $500 covers and excludes, 'no income guarantees', and the 7-day refund read twice with its conditions (PT-04, PT-05, F-13, PT-15); the platform's own builder guide: hand over 'when it's ready to go live' (P-06.AV-07)",Loaded and live,0,images/C1-V3.jpg,prompts/C1-V3.txt,pass
C2-V1,C2,V1,launch,"AV1-store-died: first store(s) closed after one product / one batch (Q-O-0108, Q-F-9004); age [A] 25-45",problem aware,4:5,A8a #6 Atypical Text (hook on the store dashboard),~600 clicks. Still no sales. Then I closed the store.,The product did not sell. It was also the only shot the store ever got.,Readymerce builds your next store in your name and puts products live in stages. Each gets a small ad test on a budget you approve. What doesn't sell gets replaced.,"“Most successful dropshippers test 5 to 10 products before finding one that scales profitably.” Product Lair, 2024 (P-104.AV-01)",A second shot,75,images/C2-V1.jpg,prompts/C2-V1.txt,pass
C2-V2,C2,V2,launch,"AV1-store-died: first store(s) closed after one product / one batch (Q-O-0108, Q-F-9004); age [A] 25-45",problem aware,4:5,N1 Notes-app list,Ive had 2 stores on Shopify both failed,turns out neither store ever tested more than one product,"[crossed out] store 1: posture correctors. $50 ad sets. still no sales / new interests, same product / reviews, discounts, trust badges / the one week challenge / store 2: chess boards. 10 days of ads. still no orders · next time: - products go live in stages, not one - small ad test on each one, budget I approve - early review, replace what doesn't sell - store + payouts in MY name",(read somewhere: most successful dropshippers test 5 to 10 products before finding one) (P-104.AV-01 paraphrase in a private note),A second shot,98,images/C2-V2.jpg,prompts/C2-V2.txt,pass
C2-V3,C2,V3,launch,"AV1-store-died: first store(s) closed after one product / one batch (Q-O-0108, Q-F-9004); age [A] 25-45",problem aware,1:1,N9 Direct Feed Post,$254 for my first store. About $750 for the second. It took one number I had never bothered to count to explain both of them.,"I didn't have two failed stores. I had two stores that each got one shot, and one guess misses a lot more often than it hits.","Mechanism beat: an average store converts about 1.4% of visits (P-105, 'an average, not a promise'), so ~600 clicks should be about 8 orders; zero meant the product missed; every fix was aimed at the store, not the product; 'Most successful dropshippers test 5 to 10 products before finding one that scales profitably.' (P-104); the chance discovery (tire shop, 55.9%) leads to a store built in his name with products released in stages, controlled ad testing on a budget he approves, an early review and replacements (PT-04, F-05, F-11).",P-104.AV-01 quote (Product Lair practitioner guide) · P-105.AV-01 Littledata 1.4% average · PT-05/F-13 'What Is NOT Included' + 'We make no income guarantees' · PT-15 refund as conditioned · F-11 owner field and payouts in his name,A second shot,19,images/C2-V3.jpg,prompts/C2-V3.txt,pass
C3-V1,C3,V1,launch,AV4-paycheck-side: full-time job; the store gets the leftover hours (Q-F-0015); age [A] 25-50 employed,solution aware,1:1,A8a #3 Avatar Callout,Earn good money now? Don't quit to start a store.,"Starting a store only feels like betting the paycheck when it launches as one shot: one guessed product, after hours.","Keep the salary. Keep your evenings. / Products go live in stages, each on a small test. / You approve the budget. The team runs the tests.",The store stays in your name. Payouts go to your bank. No income promises.,Start without quitting,72,images/C3-V1.jpg,prompts/C3-V1.txt,pass
C3-V2,C3,V2,launch,AV4-paycheck-side: full-time job; the store gets the leftover hours (Q-F-0015); age [A] 25-50 employed,solution aware,4:5,"N4 Phone story (parked car, link sticker = CTA)","i work a full time job, so my store only gets me after hours",turns out the job was never the risk. betting the store on one guessed product was.,new plan: keep the salary. a team runs small tests on a budget i approve.,reading every term before i pay. store stays in my name.,Start without quitting,59,images/C3-V2.jpg,prompts/C3-V2.txt,pass
C3-V3,C3,V3,launch,AV4-paycheck-side: full-time job; the store gets the leftover hours (Q-F-0015); age [A] 25-50 employed,solution aware,1:1,N9 Direct Feed Post,"""Nobody quits to start one,"" the guy from purchasing said in the break room. He wasn't even talking to me.",So the job was never the risky part. It was the safe part.,"A new store's first weeks are a loop: pick a product, put a small ad budget behind it, read what happened, cut what isn't moving, put the next one up. It runs on weekdays, not Sunday nights. Several small tests, on a budget you approve, run in somebody's working day while the paycheck keeps coming, is a different bet.","In writing: $500 one-time for the build. The store in my name, staying in my name, payouts to my bank. Product costs, platform fees and ad spend extra and mine, with every test budget one I approve. Not a course. And on page after page, no income promises.",Start without quitting,15,images/C3-V3.jpg,prompts/C3-V3.txt,pass
C4-V1,C4,V1,benched,"AV2-paid-got-nothing: paid a builder or vendor, got a half-done or locked store (Q-F-0004, Q-O-0062); age [A] 35-60 (13 §5); awareness AW-4",product aware,4:5,A8a #4 Us vs Them (split frame),"""Contact an administrator."" On the store I paid for.",The store builds that took people's money went wrong in two places. Check both before you pay.,"Once the store is finished and live, the team reviews the first results and makes corrections.",In writing: “The store account is in your name and stays in your name.”,In your name,75,images/C4-V1.jpg,prompts/C4-V1.txt,pass
C4-V2,C4,V2,benched,"AV2-paid-got-nothing: paid a builder or vendor, got a half-done or locked store (Q-F-0004, Q-O-0062); age [A] 35-60 (13 §5); awareness AW-4",product aware,1:1,A8b N5 Search bar + answer card (generic UI),they said they would build a store but i am building the store,Builds like this often went wrong in two places. You can check both before you pay.,1. Whose account the store sits in until it's transferred to you · 2. Who is still working on it after launch day,"“You own and configure the store during the build phase, then transfer ownership to the client when it's ready to go live.” (Platform docs written for store builders; P-06.AV-02)",In your name,83,images/C4-V2.jpg,prompts/C4-V2.txt,pass
C4-V3,C4,V3,benched,"AV2-paid-got-nothing: paid a builder or vendor, got a half-done or locked store (Q-F-0004, Q-O-0062); age [A] 35-60 (13 §5); awareness AW-4",product aware,1:1,N10 News-style static (V3 story image) + long-form story (B18),"The login page told me to contact an administrator. I read it three times, because the administrator was supposed to be me.","N10 standfirst: The same two gaps keep showing up: the store sat in the builder's account, and the work stopped on launch day.","story (primary_text): skeptic who resisted, #2 The investigation, S2 + S17; 1,687 words; product at 66%","in-story proof beats: F-11 page quote (""The store account is in your name and stays in your name.""), P-06 platform docs sentence, PT-05 written exclusions, PT-15 refund with every condition, her own owner field (P-01, told as experience)",In your name,33,images/C4-V3.jpg,prompts/C4-V3.txt,pass
C5-V1,C5,V1,benched,"AV3-stuck-starter: weeks in the setup or stuck on the product pick (Q-F-0013, Q-F-0041); age [A] 25-55",unaware,1:1,A8a #7 Post-it / Handwritten,10 weeks on simple setup tasks. My store still isn't live.,"Paying someone to build it fixes the setup. But builders leave the day it goes live, when the real work starts.","After launch: an early review, corrections, new products. / Products released in stages, tested on a budget you approve. / Built in your name, listings and shipping set up.",Shopify's guide for builders: transfer the store “when it's ready to go live.”,"Live, not stuck",75,images/C5-V1.jpg,prompts/C5-V1.txt,pass
C5-V2,C5,V2,benched,"AV3-stuck-starter: weeks in the setup or stuck on the product pick (Q-F-0013, Q-F-0041); age [A] 25-55",unaware,1:1,N9 Direct Feed Post,trying to set up my store for weeks. i'm tech savvy and competent. still no simple step by step,"the setup is only half of it. builders hand the store over the day it goes live, then they're gone","get it built in your name by people who stay after launch. early review, fixes, products added in stages","i hired a freelancer to build mine. soon after i launched my store, the nightmare began (composite peer reply built on Q-B-8301; category-typical, never framed as a Readymerce review)","Live, not stuck",81,images/C5-V2.jpg,prompts/C5-V2.txt,pass
C5-V3,C5,V3,benched,"AV3-stuck-starter: weeks in the setup or stuck on the product pick (Q-F-0013, Q-F-0041); age [A] 25-55",unaware,4:5,N8 Story Snapshot,"Week 10, Tuesday, 9:40pm. I changed the theme image on my store again. That's the fourth one, and the store still isn't live.","I had been asking the wrong question. It was never ""how do I finish this setup."" It was ""who's still working on it after it goes live?""","A store build ends on launch day; the first real information, and every keep, replace and rewrite decision, only arrives after it goes live, which is exactly when the owner is left alone (M-1). The 00 Build: opened in her name, first products from demand and competition data, released in stages, tested on a budget she approves, an early performance review and post-launch corrections (F-01, F-03, PT-04, F-05, PT-08, F-11).","The platform's own builder guide: transfer ownership to the client ""when it's ready to go live"" (P-04.AV-03); the page's written after-launch list (P-02.AV-03); category handover stories Q-F-0018, Q-B-8301, Q-F-8303 (P-05, similar context); refund stated only as conditioned (PT-15).","Live, not stuck",0,images/C5-V3.jpg,prompts/C5-V3.txt,pass
